施設ID,施設名,郵便番号,住所,電話番号,FAX番号,管理者/担当者,備考
FAC001,個人宅,,,,,,
FAC002,セラス,060-0055,北海道札幌市中央区南5条東3丁目14-7,011-596-6340,011-596-6341,管理者：中村さん,
FAC003,ベース,064-0944,北海道札幌市中央区円山西町9-5-5,011-213-8160,011-213-8225,山本さん、有馬さん,
FAC004,ディールエンハイス（マル①）,062-0055,北海道札幌市豊平区月寒東5条19丁目1-39,011-777-6946,011-777-6946,宮越さん,
FAC005,ネクストコート（マル②）,062-0055,北海道札幌市豊平区月寒東5条19丁目1-32,011-376-1373,011-376-1373,宮越さん,
FAC006,シェアハウス東屯田（マル③）,064-0913,北海道札幌市中央区南13条西8丁目1-22 カサマコーポラス101号室,090-6443-7820,011-557-1682,宮越さん,
FAC007,パルディア,060-0011,北海道札幌市中央区北11条西14丁目1-45,090-6045-3061,011-214-9979,齊藤さん,
FAC008,シェノール,063-0004,北海道札幌市西区山の手4条1丁目1-30,011-590-0229,,青山さん,
FAC009,あさひ八軒,063-0849,北海道札幌市西区八軒9条西2丁目3-26,011-688-8645,011-688-8646,事務：小池さん、介護：柴田さん,
FAC010,あさひ新琴似,001-0903,北海道札幌市北区新琴似3条5丁目4-8,011-688-8645,011-688-8646,事務：小池さん、介護：柴田さん,
FAC011,わだ家,006-0034,北海道札幌市手稲区稲穂4条3丁目7-46,011-676-4415,011-676-4415,管理者：菅さん,
FAC012,あおい元町,065-0021,北海道札幌市東区北21条東19丁目1-6,011-789-9800,,,
FAC013,あおい栄町,,,,,,
