商品ID,商品コード,管理番号,商品名,箱入数,単位,発注先ID,棚番号,段数,定数在庫_個数,単価_箱
PRD-001,23013-800-001-2786,1,オールシリコントレイキット12Fr 10ml,10,個,store-01,1,5,0,12200.0
PRD-002,23013-800-001-2787,2,オールシリコントレイキット14Fr 10ml,10,個,store-01,1,5,50,13500.0
PRD-003,23013-800-001-2788,3,オールシリコントレイキット16Fr 10ml,10,個,store-01,1,5,20,13500.0
PRD-004,23013-800-001-2789,4,オールシリコントレイキット18Fr 10ml,10,個,store-01,3,,10,12000.0
PRD-005,23013-800-001-4926,5,オールシリコントレイキット14Fr 15ml,10,個,store-01,3,5,0,30000.0
PRD-006,52006-25-155,6,ラテックスフォーリーカテーテルS 16Fr,10,個,store-01,2,1,0,2890.0
PRD-007,23013-800-000-5306,7,膀胱瘻バルーンカテーテルFL 18Fr,5,個,store-01,2,1,10,20160.0
PRD-008,12020-8-3576-11,8,プロシェア閉鎖式導尿バック,5,個,store-01,2,5,0,2330.0
PRD-009,44001-30909,9,ウロガードプラス閉鎖式導尿バッグ,5,個,store-01,2,5,10,1940.0
PRD-010,44001-30255,10,ネラトンカテーテル 12Fr 28cm,50,個,store-01,2,1,100,2120.0
PRD-011,44001-30361,11,ネラトンカテーテル 14Fr 28cm,50,個,store-01,2,1,0,1900.0
PRD-013,61099-2800461,13,プッシュ綿棒GO.05 1本/袋,30,個,store-01,1,4,0,1789.8
PRD-014,74209-3004084,14,K-Yルブリケーティングゼリー82ｇ,1,個,store-01,,,0,70.83
PRD-015,61099-2600325,15,クロルヘキシジングルコン酸塩エタ綿棒　12mmﾒﾝﾎﾞｳ2ﾎﾝ＊24ｲﾘ,24,個,store-01,1,4,96,1980.0
PRD-016,68-4179-84,16,スワブスティックポビドンヨード 3.3 2本/包,60,個,store-01,1,4,120,5160.0
PRD-017,12020-0-9092-01,17,滅菌セッシ 無鈎 SH-1M 1本/袋,20,個,store-01,1,4,0,2400.0
PRD-018,52476_004132_S6,18,ニチバンサージカルテープ・21N 9m/巻,24,個,store-01,1,4,0,0
PRD-019,45002-01118B,19,ベニューラ針SS-1　65ｍ/ｍ,50,個,store-01,3,5,0,5070.0
PRD-020,44001-39439,20,シリンジ 2.5ml  針なし,100,個,store-01,,,200,1150.0
PRD-021,44001-39459,21,シリンジ10ml 　横口　針なし,100,個,store-01,,,500,1700.0
PRD-022,44001-39671,22,シリンジ20ml 　針なし,50,個,store-01,,,200,1100.0
PRD-023,45002-01007B,23,トップ社　シリンジ10ml,50,個,store-01,,,0,1000.0
PRD-024,52006-01-001,24,注射針 18G×1.1/2RB　フローマックス,100,個,store-01,1,3,500,380.0
PRD-025,52006-01-038,25,注射針 23G×1RB　フローマックス,100,個,store-01,1,3,0,320.0
PRD-026,52006-01-043,26,注射針 25G×1RB　フローマックス,100,個,store-01,1,3,0,320.0
PRD-027,52006-01-017,27,注射針 27G×１/2RB　フローマックス,100,個,store-01,1,3,0,320.0
PRD-028,45002-00921B,28,トップシリンジ　インスリン用 注射針付,100,個,store-01,3,4,100,2400.0
PRD-029,12020-8-2705-01,29,ニプロ輸液セットECO　針なし,10,個,store-01,2,4,0,0
PRD-030,45002-21149,30,トップ輸液セットクリア 1ml≒20滴,50,個,store-01,2,4,200,3250.0
PRD-031,32015-JY-PFC321F7,31,JMS輸液セットPVCフリーIVF三括付,20,個,store-01,3,5,0,22500.0
PRD-032,44001-29007,32,サフィード延長チューブ（ロック付 50cm 内径2.1㎜）,50,個,store-01,2,4,200,3540.0
PRD-033,45002-17691,33,セフィオフローコネクターSC-2,25,個,store-01,2,3,125,4650.0
PRD-034,52006-15-006,34,ニプロ連結管 450㎜,50,個,store-01,2,5,100,1800.0
PRD-035,45002-01308B,35,三方活栓　L型ロック,20,個,store-01,2,3,0,2300.0
PRD-036,52006-24-259,36,コアレスニードルセット CFW-22G,10,個,store-01,2,3,60,5700.0
PRD-037,52006-09-045,37,セーフレットキャス　NIC 22G×1,50,個,store-01,2,2,150,5430.0
PRD-038,52006-09-047,38,セーフレットキャス　NIC 24G×1,50,個,store-01,2,3,150,5430.0
PRD-039,52006-32-383,39,セーフタッチPSVセット23Gホルダー付き,24,個,store-01,,,0,2649.84
PRD-040,52006-04-013,40,PSVセット(翼付針) 23G×3/4,50,個,store-01,2,3,0,1550.0
PRD-041,44001-05639,41,サーフローフラッシュ 18Gx1.1/4,50,個,store-01,2,3,0,5320.0
PRD-042,12020-8-7221-31,42,ディスポ針ボックス　黄色　１L,1,個,store-01,3,5,0,160.0
PRD-043,12020-7-6208-02,43,Bescherアルコール消毒綿（パックタイプ）,200,個,store-01,2,2,4000,44000.0
PRD-044,15100-00031078,44,アルウエッティOne2-E 2枚/包,100,個,store-01,2,2,2000,250.0
PRD-045,12020-8-6944-03,45,インディケーターアンダーグローブ 6.5号,50,個,store-01,2,5,0,8770.0
PRD-046,45002_14401B_S6,46,吸引カテーテル8Fr 40cm 口鼻腔用,50,個,store-01,2,1,100,2200.0
PRD-047,45002-14402B_S6,47,吸引カテーテル10Fr 40cm 口鼻腔用,50,個,store-01,2,1,100,2200.0
PRD-048,45002-14403B_S6,48,吸引カテーテル12Fr 40cm 口鼻腔用,50,個,store-01,2,1,600,2500.0
PRD-049,45002-06417,49,トップ ネオフィード栄養ボトル 600ml,5,個,store-01,1,2,15,1730.0
PRD-050,45002-25038,50,ネオフィード栄養セット ナチュールSB,20,個,store-01,1,2,60,3190.0
PRD-051,45002-25014,51,ネオフィードシリンジ 20ml SB,25,個,store-01,1,2,50,2090.0
PRD-052,45002-25016B,52,ネオフィードシリンジ50ml SB,25,個,store-01,1,1,25,2780.0
PRD-053,23013-800-002-0593,53,クリニーマーゲンゾンデ12Fr,10,個,store-01,1,2,10,3360.0
PRD-054,800-002-0594,54,クリニーマーゲンゾンデ14Fr,10,個,store-01,1,2,0,3360.0
PRD-055,12020-7-8086-11,55,けんだくボトルB型　100ml,10,個,store-01,1,1,0,841.0
PRD-057,MD49803P,57,イディアルボタンZERO用接続チューブ 60㎝,1,個,store-01,1,2,0,1800.0
PRD-058,15001-N6170710,58,イディアルボタン接続チューブ 60㎝,1,個,store-01,1,2,0,225.0
PRD-059,26-269,59,EN加圧バッグ,1,個,store-01,,,0,6380.0
PRD-060,22021-106145,60,グルコカードプライムセンサー,30,個,store-01,3,4,600,3069.9
PRD-061,11006-008224,61,ジェントレット針,30,個,store-01,3,4,600,480.0
PRD-062,44001-37351,62,メディセーフフィットチップ,30,個,store-01,3,4,120,2460.0
PRD-063,MS-GN4530,63,メディセーフフィット針　44001-24443,30,個,store-01,3,4,120,390.0
PRD-064,52006-11-166,64,ニプロLSランセット 28G 1.1㎜,30,個,store-01,3,4,0,429.9
PRD-065,12020-0-1119-24,65,ブルードレープ穴あき　63円中央テープ付,10,個,store-01,,,0,3850.0
PRD-066,45003-11674,66,プレスネット　3号　腕・肩・下腿用,25,個,store-01,2,2,0,33625.0
PRD-067,45003-17822,67,マルチフィックス・ロール 7号,10,個,store-01,,,0,21700.0
PRD-068,61006-15996,68,ステラーゼ 7.5×10㎝　滅菌済,50,個,store-01,3,3,0,1240.0
PRD-069,33035-66974941,69,メロリン 10.0cm×10.0㎝,100,個,store-01,3,3,0,4500.0
PRD-070,45003-11621,70,エラスコット 2号,6,個,store-01,2,2,0,1129.98
PRD-071,45003-11622,71,エラスコット 3号,6,個,store-01,2,2,0,1590.0
PRD-072,45003-11623,72,エラスコット 4号,6,個,store-01,2,2,0,1980.0
PRD-073,52288-033,73,エルホワイト-S　3号,10,個,store-01,2,2,20,1715.0
PRD-074,45003-17434,74,アンシルク・プロJストッキングS,1,個,store-01,2,2,0,2120.0
PRD-076,45003-17432,76,アンシルク・プロJストッキングL,1,個,store-01,2,2,3,2120.0
PRD-077,15003-17421,77,アンシルク・プロJハイソックスLL,1,個,store-01,,,0,0
PRD-078,15003-17422,78,アンシルク・プロJハイソックスL,1,個,store-01,,,0,0
PRD-079,15003-17423,79,アンシルク・プロJハイソックスM,1,個,store-01,,,0,0
PRD-080,33035-66800341,80,オプサイト　クイックロール 2WAY,12,個,store-01,1,4,0,66000.0
PRD-081,33035-59410882,81,IV3000ドレッシングフレームデリバリー 10.0×12.0,50,個,store-01,2,2,0,10500.0
